0	4.0
0.5	3.91
1	3.86
1.5	3.81
2	3.76
2.5	3.71
3	3.67
3.5	3.63
4	3.58
4.5	3.54
5	3.50
5.5	3.46
6	3.42
6.5	3.38
7	3.34
7.5	3.30
8	3.27
8.5	3.23
9	3.20
9.5	3.17
10	3.13
