0.01 0.00194366203886
0.02 0.0155492963109
0.03 0.0524788750397
0.04 0.124394339814
0.05 0.242953951598
0.06 0.419738150372
0.07 0.665776027001
0.08 0.990240482812
0.09 1.39858764679
0.1 1.89113255349
0.11 2.46278607868
0.12 3.10393161679
0.13 3.80195673171
0.14 4.54281629385
0.15 5.31251011224
0.16 6.09803103617
0.17 6.88770199331
0.18 7.67198657839
0.19 8.44301609284
0.2 9.19461752918
0.21 9.92276651526
0.22 10.6234896655
0.23 11.2954316496
0.24 11.9368508204
0.25 12.5475902521
0.26 13.1282246269
0.27 13.6789002693
0.28 14.1998119663
0.29 14.6922649997
0.3 15.1584394092
0.31 15.5987078538
0.32 16.0131458071
0.33 16.4065087918
0.34 16.7759015294
0.35 17.1259781977
0.36 17.4556574087
0.37 17.7687092604
0.38 18.0622400453
0.39 18.3421770528
0.4 18.6039758877
0.41 18.8547450977
0.42 19.0902969858
0.43 19.3133276008
0.44 19.5264434656
0.45 19.7275951947
0.46 19.9185830957
0.47 20.0985884417
0.48 20.2713075682
0.49 20.4353348484
0.5 20.5913908935
0.51 20.7371564967
0.52 20.8783618964
0.53 21.0122576511
0.54 21.1415908903
0.55 21.2628834056
0.56 21.381724693
0.57 21.4908230014
0.58 21.5989347859
0.59 21.7015773597
0.6 21.7971975706
0.61 21.891268121
0.62 21.9821342029
0.63 22.0678274754
0.64 22.1499883064
0.65 22.2262735904
0.66 22.3022097639
0.67 22.375326915
0.68 22.4428345373
0.69 22.5103159637
0.7 22.5748447769
0.71 22.6376874276
0.72 22.695524096
0.73 22.754078239
0.74 22.809885799
0.75 22.8640087592
0.76 22.9125852604
0.77 22.9664790466
0.78 23.0117289789
0.79 23.0592977332
0.8 23.1050224953
0.81 23.1444161303
0.82 23.1889569894
0.83 23.2287400078
0.84 23.2643954381
0.85 23.3022342296
0.86 23.3373845361
0.87 23.3763292827
0.88 23.4081201338
0.89 23.4391662137
0.9 23.4762055381
0.91 23.5078109867
0.92 23.5343995671
0.93 23.5627184601
0.94 23.5934334341
0.95 23.620724448
0.96 23.6450194726
0.97 23.6733980449
0.98 23.6998042979
0.99 23.7246722499
1.0 23.7484378474
