0	-6.92	6
0.5	-6.84	6.25
1	-6.77	6.5
1.5	-6.68	7
2	-6.6	7.4
2.5	-6.52	7.75
3	-6.43	8.1
3.5	-6.34	8.5
4	-6.26	8.5
4.5	-6.18	9.25
5	-6.08	9.5
5.5	-5.99	10.1
6	-5.90	10.1
6.5	-5.81	10.5
7	-5.72	10.9
7.5	-5.63	11.1
8	-5.53	11.5
8.5	-5.40	12
9	-5.35	12.4
9.5	-5.25	12.4
10	-5.17	13
10.5	-5.07	13.1
11	-4.98	13.5
11.5	-4.88	14
12	-4.78	14
12.5	-4.70	14.25
13	-4.60	14.5
13.5	-4.51	14.8
14	-4.42	15
14.5	-4.29	15.3
15	-4.21
